Species,Age,Sex,Wing,Weight,Tail,Year
RT,A,"",435,1385,235,1993
RT,A,"",400,1210,222,1993
RT,I,"",398,1455,236,1993
RT,I,"",395,1180,210,1993
RT,I,"",410,1500,239,1993
RT,I,"",369,1025,228,1994
RT,I,"",372,930,220,1994
RT,I,"",415,1360,233,1994
RT,I,"",412,1255,236,1994
SS,I,F,205,194,155,1994
SS,I,F,204,159,152,1994
SS,I,M,170,90,135,1994
CH,A,M,233,340,186,1994
RT,I,"",375,1065,216,1994
RT,I,"",385,1125,233,1994
RT,I,"",422,1340,248,1994
RT,I,"",391,1050,221,1994
RT,I,"",410,1210,227,1994
RT,I,"",385,980,223,1994
RT,I,"",381,1000,219,1994
RT,A,"",416,1390,225,1994
RT,I,"",406,1275,238,1994
RT,I,"",418,1180,235,1994
RT,I,"",412,1210,222,1994
SS,A,F,208,168,155,1994
SS,I,F,208,146,160,1994
SS,I,M,175,108,137,1994
SS,I,M,166,94,127,1994
RT,I,"",405,1085,238,1994
SS,A,F,198,188,150,1994
SS,I,F,200,154,150,1994
RT,I,"",380,810,229,1994
RT,I,"",381,905,227,1994
SS,I,M,169,94,129,1994
CH,I,F,260,420,220,1994
RT,I,"",428,1240,245,1994
RT,I,"",400,990,223,1994
CH,I,F,265,365,224,1994
SS,I,M,177,91,133,1994
RT,I,"",381,1010,210,1994
RT,I,"",403,980,234,1994
RT,I,"",382,860,219,1994
RT,I,"",382,970,216,1994
RT,I,"",399,980,230,1994
RT,I,"",380,985,223,1994
RT,I,"",375,990,220,1994
RT,I,"",420,1210,241,1994
SS,I,M,170,89,136,1994
SS,A,M,177,97,137,1994
RT,I,"",375,990,223,1994
RT,I,"",395,1170,238,1994
SS,A,M,170,93,126,1994
RT,I,"",406,1350,235,1994
RT,I,"",414,1370,240,1994
SS,I,M,173,103,137,1994
SS,I,F,209,151,160,1994
SS,I,M,177,101,140,1994
RT,I,"",388,985,220,1994
RT,I,"",277,940,218,1994
RT,I,"",423,1310,234,1994
RT,I,"",365,1035,232,1994
RT,I,"",383,965,221,1994
RT,I,"",391,1125,220,1994
RT,I,"",389,975,232,1994
RT,I,"",392,1140,214,1994
RT,I,"",375,950,225,1994
RT,I,"",410,1210,238,1994
SS,I,M,179,95,133,1994
SS,I,M,172,89,136,1994
SS,A,F,202,195,151,1994
SS,I,M,174,93,131,1994
RT,I,"",422,1205,238,1994
RT,I,"",385,1045,229,1994
RT,I,"",363,1090,202,1994
RT,I,"",450,1190,226,1994
RT,I,"",380,960,220,1994
RT,I,"",385,955,215,1994
RT,I,"",385,1110,122,1994
SS,I,M,171,100,134,1994
RT,I,"",380,900,215,1994
RT,I,"",384,1075,208,1994
RT,I,"",373,980,211,1994
RT,I,"",381,940,220,1994
RT,I,"",363,1070,204,1994
RT,I,"",409,1120,229,1994
RT,A,"",390,1060,205,1994
SS,I,F,204,168,155,1994
SS,I,F,197,211,150,1994
RT,I,"",420,1125,244,1994
RT,I,"",381,1100,225,1994
RT,I,"",408,1360,239,1994
RT,I,"",388,995,222,1994
RT,A,"",398,1095,209,1994
SS,I,F,209,196,164,1994
SS,I,F,209,176,159,1994
RT,A,"",394,1075,211,1994
SS,A,F,204,180,160,1994
SS,I,F,204,164,157,1994
SS,I,F,209,158,160,1994
RT,I,"",394,1140,216,1994
RT,I,"",416,1240,250,1994
RT,I,"",445,1465,260,1994
SS,I,F,209,169,164,1994
RT,I,"",388,1105,217,1994
RT,I,"",397,1010,228,1994
RT,I,"",384,1075,218,1994
RT,I,"",379,1060,220,1994
RT,I,"",393,1015,227,1994
RT,I,"",386,1100,211,1994
RT,I,"",397,1010,222,1994
RT,I,"",382,1000,225,1994
RT,I,"",386,980,221,1994
RT,I,"",417,1240,231,1994
RT,I,"",403,1360,235,1994
CH,A,M,239,183,182,1994
RT,I,"",401,1405,235,1994
RT,A,"",377,1055,200,1994
RT,A,"",432,1670,216,1994
RT,I,"",390,1250,223,1994
RT,I,"",381,1030,210,1994
RT,I,"",403,1040,229,1994
SS,I,F,213,190,160,1994
SS,I,M,172,105,125,1994
RT,I,"",390,1090,226,1994
SS,I,F,204,190,154,1994
RT,A,"",386,1050,207,1994
RT,I,"",402,1110,238,1994
SS,I,F,201,206,151,1994
SS,I,F,202,195,158,1994
RT,A,"",374,1010,197,1994
RT,I,"",358,880,250,1994
RT,I,"",370,1060,215,1994
RT,I,"",390,920,214,1994
RT,I,"",398,1195,230,1994
RT,I,"",360,890,213,1995
RT,I,"",355,900,214,1995
RT,A,"",375,1110,224,1995
SS,I,F,200,160,153,1995
SS,I,M,179,105,131,1995
SS,I,M,175,99,145,1995
SS,I,F,203,165,165,1995
SS,I,F,205,100,168,1995
SS,I,F,213,125,156,1995
RT,I,"",409,1100,215,1995
SS,I,F,195,155,155,1995
RT,I,"",415,1285,239,1995
CH,A,M,236,390,185,1995
RT,I,"",363,920,214,1995
RT,I,"",381,1025,232,1995
RT,A,"",350,940,205,1995
RT,I,"",398,1240,243,1995
RT,I,"",412,1160,255,1995
SS,I,F,203,150,159,1995
SS,I,F,201,130,156,1995
RT,I,"",411,1240,276,1995
RT,I,"",373,930,210,1995
SS,I,M,178,90,145,1995
RT,I,"",415,1240,231,1995
RT,I,"",383,1030,216,1995
CH,I,M,223,550,210,1995
RT,I,"",390,1250,210,1995
RT,I,"",390,999,220,1995
RT,A,"",365,1120,260,1995
RT,A,"",345,1000,200,1995
CH,I,F,273,530,213,1995
RT,I,"",400,1040,230,1995
RT,I,"",380,1150,220,1995
RT,I,"",330,1000,220,1995
RT,I,"",410,1360,235,1995
RT,I,"",313,930,215,1995
RT,I,"",384,980,215,1995
RT,I,"",409,1260,221,1995
RT,I,"",390,900,225,1995
RT,I,"",411,1300,238,1995
CH,I,F,259,470,221,1995
RT,A,"",380,1040,212,1995
RT,I,"",370,950,215,1995
RT,I,"",415,1320,235,1995
SS,I,F,215,180,132,1995
RT,I,"",410,1280,229,1995
RT,I,"",412,1310,251,1995
RT,A,"",384,910,215,1995
RT,I,"",404,1220,225,1995
RT,I,"",375,920,210,1995
RT,I,"",410,1135,267,1995
RT,I,"",384,940,220,1995
RT,I,"",385,920,238,1995
RT,I,"",398,1280,248,1995
RT,I,"",425,1220,241,1995
RT,I,"",401,1000,212,1995
RT,I,"",387,1120,221,1995
RT,I,"",376,925,233,1995
SS,A,M,171,90,138,1995
RT,A,"",420,1280,230,1995
RT,I,"",385,985,223,1995
RT,I,"",405,1350,226,1995
RT,I,"",350,730,208,1995
RT,I,"",388,890,231,1995
RT,I,"",398,1020,217,1995
RT,A,"",410,1000,230,1995
SS,I,F,202,150,153,1995
SS,I,F,204,180,186,1995
RT,A,"",382,1020,225,1995
RT,I,"",111,1340,226,1995
RT,I,"",396,1300,214,1995
RT,I,"",363,1015,242,1995
RT,I,"",360,900,220,1996
RT,I,"",390,1000,250,1996
SS,I,M,195,150,178,1996
RT,A,"",390,1050,220,1996
RT,I,"",380,950,240,1996
CH,I,M,225,350,215,1996
CH,A,M,247,375,160,1996
RT,A,"",415,1175,230,1996
RT,I,"",354,980,220,1996
RT,A,"",417,1260,234,1996
RT,I,"",379,1050,226,1996
RT,A,"",412,1330,218,1996
RT,A,"",377,980,209,1996
RT,I,"",372,920,228,1996
RT,I,"",420,1540,235,1996
RT,I,"",368,1060,223,1996
RT,I,"",406,1420,245,1996
CH,I,M,225,400,202,1996
RT,I,"",392,1142,235,1997
SS,I,F,191,157,158,1997
SS,I,M,161,98,133,1997
RT,I,"",365,813,221,1997
SS,I,M,156,94,125,1997
SS,I,F,191,155,158,1997
SS,I,F,198,181,159,1997
SS,I,M,160,92,132,1997
SS,I,M,164,98,136,1997
RT,I,"",352,1024,216,1997
CH,I,F,265,464,225,1997
SS,I,M,163,100,137,1997
SS,I,F,193,186,155,1997
SS,I,F,190,164,155,1997
SS,I,M,165,98,138,1997
SS,A,F,198,158,154,1997
RT,I,"",370,1023,216,1997
RT,I,"",230,340,200,1997
CH,I,M,194,163,158,1997
SS,I,F,157,92,132,1997
SS,I,M,260,550,215,1997
CH,A,F,377,1119,226,1997
RT,I,"",364,917,216,1997
RT,I,"",367,946,221,1997
RT,I,"",233,337,196,1997
CH,I,M,336,742,221,1997
SS,I,F,259,439,218,1997
CH,I,F,199,187,157,1997
SS,I,F,165,92,135,1997
SS,I,M,370,1094,221,1997
RT,I,"",362,832,210,1997
RT,A,"",368,1244,220,1997
RT,I,"",368,1244,220,1997
RT,I,"",367,974,221,1997
RT,I,"",400,1289,242,1997
RT,I,"",379,999,220,1997
RT,I,"",360,994,210,1997
RT,I,"",362,1004,221,1997
RT,I,"",378,1097,236,1997
SS,I,F,201,185,162,1997
SS,I,M,193,181,150,1997
RT,I,"",372,1092,235,1997
RT,I,"",369,1049,231,1997
RT,I,"",354,998,227,1997
RT,I,"",367,1091,238,1997
RT,I,"",349,987,225,1997
RT,I,"",375,1151,249,1997
RT,I,"",343,971,213,1997
RT,I,"",360,1159,240,1997
RT,I,"",395,1239,231,1997
RT,I,"",400,1216,227,1997
SS,A,F,170,177,155,1997
CH,I,F,268,469,227,1997
RT,I,"",369,1039,223,1997
RT,I,"",365,1079,228,1997
RT,A,"",375,1159,242,1997
SS,I,M,230,162,149,1997
CH,A,M,213,339,184,1997
RT,A,"",382,1403,247,1997
SS,I,M,168,175,158,1997
RT,A,"",478,1473,267,1997
RT,I,"",469,1001,257,1997
SS,I,M,172,98,148,1997
RT,I,"",373,914,221,1997
RT,A,"",386,1059,214,1997
RT,I,"",384,1147,229,1997
RT,I,"",351,949,213,1997
SS,I,M,168,102,138,1997
RT,I,"",363,973,213,1997
SS,I,F,199,196,158,1997
CH,I,M,235,327,193,1997
RT,A,"",374,1064,201,1997
RT,I,"",369,749,216,1997
SS,I,F,202,201,165,1997
SS,I,F,202,180,160,1997
RT,I,"",374,1213,244,1997
RT,I,"",389,1200,230,1997
RT,I,"",379,1040,227,1997
SS,I,M,170,113,139,1997
RT,I,"",373,919,233,1998
RT,I,"",403,1487,240,1998
RT,I,"",400,1254,237,1998
SS,A,F,205,156,144,1998
RT,I,"",405,1189,210,1998
RT,I,"",382,979,225,1998
SS,A,M,165,96,125,1998
RT,I,"",407,1339,246,1998
RT,I,"",403,1199,225,1998
RT,I,"",406,1344,230,1998
RT,I,"",381,969,220,1998
RT,I,"",395,1039,230,1998
RT,I,"",410,1054,233,1998
CH,A,F,243,334,196,1998
SS,I,M,170,101,135,1998
SS,A,F,210,181,170,1998
RT,A,"",425,1449,232,1998
RT,I,"",402,985,234,1998
RT,A,"",480,1598,239,1998
RT,I,"",412,992,230,1998
CH,I,F,260,569,227,1998
RT,A,"",381,1354,213,1998
RT,A,"",392,969,207,1998
RT,I,"",382,1080,214,1998
SS,A,F,196,185,146,1998
RT,A,"",391,1097,217,1998
RT,A,"",397,1439,216,1998
RT,I,"",376,1019,216,1998
RT,A,"",410,1239,222,1998
RT,I,"",381,1399,288,1998
RT,I,"",396,1169,238,1998
RT,I,"",383,1164,199,1998
SS,I,F,203,176,161,1998
CH,I,F,255,429,208,1999
SS,I,F,196,160,137,1999
SS,I,M,168,105,143,1999
RT,I,"",392,890,219,1999
SS,I,M,163,100,128,1999
RT,I,"",395,1215,236,1999
SS,I,M,163,100,131,1999
RT,I,"",370,1030,225,1999
CH,A,M,225,340,190,1999
SS,I,F,197,165,150,1999
RT,I,"",376,985,223,1999
RT,I,"",372,975,225,1999
RT,I,"",391,1165,241,1999
SS,I,"",165,95,136,1999
RT,I,"",364,1044,210,1999
SS,A,F,202,180,160,1999
SS,I,M,163,125,135,1999
RT,I,M,381,1080,223,1999
RT,I,"",375,890,219,1999
RT,I,"",392,1105,229,1999
RT,A,"",398,1310,211,1999
RT,I,"",371,895,204,1999
RT,A,"",367,1060,204,1999
SS,A,F,193,165,146,1999
RT,A,"",375,960,214,1999
RT,I,"",408,1270,236,1999
CH,A,F,252,540,185,1999
CH,A,M,237,365,195,1999
RT,I,"",399,1170,247,1999
CH,A,F,268,590,215,1999
RT,I,"",388,1225,227,1999
SS,A,F,200,175,155,1999
SS,I,F,192,170,159,1999
SS,A,M,167,100,132,1999
RT,I,"",370,1060,225,1999
SS,A,M,162,110,130,1999
RT,I,"",363,850,220,1999
RT,I,"",371,1145,215,1999
SS,A,F,199,165,161,1999
RT,I,"",386,1090,226,1999
RT,I,"",400,1345,227,1999
RT,I,"",390,1050,236,1999
SS,A,F,199,200,169,1999
CH,A,F,254,505,212,1999
RT,A,"",382,1040,210,1999
SS,A,F,196,155,164,1999
RT,I,"",354,965,226,1999
RT,I,"",403,1105,242,1999
SS,I,F,194,155,153,1999
RT,I,"",375,1045,221,1999
RT,I,"",369,900,220,1999
RT,I,"",368,1015,219,1999
RT,A,"",393,1385,225,1999
RT,I,"",370,1165,221,1999
RT,I,"",378,905,215,1999
RT,I,"",369,985,223,1999
RT,I,"",364,800,219,1999
RT,I,"",387,995,235,1999
RT,A,"",410,1460,216,1999
SS,I,F,194,165,151,1999
RT,A,"",410,1585,130,1999
SS,A,F,194,185,154,1999
RT,I,"",373,920,223,1999
RT,I,"",390,1460,221,1999
RT,A,"",404,1315,220,1999
RT,I,"",375,1019,186,1999
RT,I,"",395,1215,217,1999
RT,I,"",379,1005,209,1999
RT,I,"",382,1350,215,1999
RT,I,"",404,1145,214,1999
SS,A,F,205,175,169,1999
RT,A,"",377,1010,207,1999
SS,I,M,184,155,153,1999
RT,I,"",390,1120,210,1999
RT,A,"",404,280,224,1999
RT,I,"",351,775,200,1999
RT,I,"",394,1210,207,1999
SS,A,M,175,107,137,1999
RT,A,"",372,909,212,1999
SS,I,M,169,95,132,1999
RT,I,"",376,1145,226,1999
RT,I,"",399,1150,232,1999
RT,I,"",399,1560,228,1999
RT,I,"",357,940,205,1999
SS,I,F,195,145,155,2000
RT,I,"",400,1089,228,2000
RT,I,"",382,1194,237,2000
SS,I,M,161,95,135,2000
RT,I,"",390,1015,230,2000
RT,I,"",379,975,219,2000
RT,I,"",376,1035,223,2000
RT,A,"",331,1055,210,2000
RT,I,"",371,945,222,2000
SS,I,M,160,90,124,2000
RT,I,"",361,785,201,2000
CH,A,F,268,56,206,2000
RT,I,"",394,1220,234,2000
SS,A,F,191,175,149,2000
RT,A,"",358,1025,204,2000
RT,I,"",380,1000,204,2000
SS,A,F,188,175,154,2000
RT,I,"",397,1210,224,2000
SS,A,F,196,180,150,2000
SS,A,F,190,175,147,2000
SS,I,M,161,90,130,2000
CH,A,F,145,320,180,2000
RT,I,"",392,1185,229,2000
CH,I,M,230,350,187,2000
RT,I,"",363,950,214,2000
SS,I,M,162,85,132,2000
RT,I,"",374,895,219,2000
RT,I,"",412,1150,230,2000
CH,I,F,272,565,219,2000
RT,I,"",388,950,230,2000
RT,I,"",371,990,217,2000
CH,I,M,225,325,179,2000
RT,I,"",391,1120,225,2000
SS,I,M,163,90,123,2000
RT,I,F,410,1120,229,2000
RT,I,"",368,820,215,2000
RT,I,F,410,1200,247,2000
RT,A,F,425,1120,222,2000
RT,I,"",368,1120,220,2000
RT,I,"",392,1220,234,2000
SS,I,M,250,470,192,2000
RT,I,"",418,1310,248,2000
RT,I,"",370,920,221,2000
SS,A,M,170,100,132,2000
SS,A,F,203,180,162,2000
RT,A,"",370,955,218,2000
RT,A,"",408,1225,225,2000
RT,A,"",393,1400,215,2000
RT,I,"",365,1025,225,2000
RT,I,"",405,1140,244,2000
RT,I,"",381,1080,232,2000
RT,I,"",390,1135,238,2000
RT,I,"",384,1430,231,2000
RT,I,"",390,1050,218,2000
RT,I,"",381,920,223,2000
SS,A,F,194,175,152,2000
RT,I,"",371,905,197,2000
RT,I,"",356,915,195,2000
RT,I,"",377,910,206,2000
RT,I,"",362,950,213,2000
SS,A,M,165,105,127,2000
SS,A,M,155,100,122,2000
RT,I,"",400,1225,222,2000
SS,A,M,161,105,124,2000
RT,I,"",387,1090,227,2000
RT,I,"",409,1350,235,2000
SS,A,F,195,200,158,2000
SS,A,F,196,200,150,2000
SS,A,M,169,100,133,2000
RT,I,"",385,940,228,2000
RT,I,"",377,920,219,2000
RT,I,"",400,1190,231,2000
SS,I,M,164,90,127,2000
SS,A,M,165,95,127,2000
RT,I,"",363,915,209,2000
CH,A,F,266,535,223,2000
RT,I,"",403,1310,237,2000
RT,I,"",375,950,210,2000
SS,A,M,166,120,133,2000
RT,I,"",373,975,215,2000
RT,I,"",373,990,217,2000
SS,A,M,170,110,135,2000
RT,A,"",373,1270,207,2000
RT,I,"",354,960,211,2000
RT,I,"",394,1290,225,2000
SS,I,M,165,95,131,2000
CH,A,F,261,505,203,2000
RT,I,"",377,1045,223,2000
RT,I,"",364,1090,218,2000
RT,I,"",385,1180,222,2000
RT,I,"",390,1195,235,2000
RT,A,"",383,1055,208,2000
RT,I,"",365,1025,216,2000
SS,I,F,201,175,157,2000
RT,I,"",376,940,217,2000
RT,A,"",402,1335,219,2000
RT,I,"",394,1085,235,2000
CH,I,M,223,375,185,2000
RT,A,"",378,1090,212,2000
RT,I,"",369,995,211,2000
RT,A,"",378,1090,201,2000
RT,A,"",262,1020,200,2000
SS,I,M,165,100,137,2000
RT,A,"",379,1000,217,2000
RT,I,"",380,1085,223,2000
RT,A,"",380,1045,199,2000
RT,I,"",393,1060,217,2000
RT,A,"",389,1135,207,2000
RT,I,"",395,1210,222,2000
SS,I,F,207,185,163,2000
RT,I,"",367,965,217,2000
RT,A,"",368,905,200,2000
RT,I,"",377,1125,220,2000
RT,I,"",374,950,216,2000
RT,A,"",385,1195,216,2000
RT,I,"",363,1005,222,2001
SS,I,M,164,95,136,2001
SS,A,F,199,175,142,2001
RT,I,"",378,995,213,2001
SS,I,F,200,165,154,2001
RT,I,"",405,1170,226,2001
SS,I,F,194,145,156,2001
SS,I,F,190,175,160,2001
SS,I,F,195,170,149,2001
SS,I,M,161,105,131,2001
SS,I,M,168,95,137,2001
SS,I,M,160,95,126,2001
RT,I,"",392,1085,210,2001
SS,I,F,201,165,165,2001
RT,I,"",395,1115,235,2001
RT,I,"",390,1195,222,2001
SS,I,M,161,100,129,2001
CH,A,M,230,365,192,2001
SS,I,F,192,170,156,2001
SS,I,M,156,90,135,2001
SS,I,M,158,95,129,2001
SS,I,M,167,115,131,2001
SS,I,F,199,155,160,2001
CH,I,F,320,229,195,2001
RT,A,"",389,1165,223,2001
CH,I,M,227,155,192,2001
CH,A,M,230,340,198,2001
SS,A,F,199,180,152,2001
RT,I,"",378,235,223,2001
SS,I,M,164,105,132,2001
RT,A,"",385,1085,216,2001
RT,I,"",369,970,207,2001
RT,I,"",378,1030,218,2001
RT,I,"",373,1015,215,2001
RT,A,"",419,1030,224,2001
RT,I,"",414,1215,242,2001
SS,A,F,203,185,157,2001
SS,A,M,162,95,119,2001
SS,I,M,165,95,130,2001
SS,A,M,161,95,124,2001
SS,I,M,161,110,130,2001
RT,I,"",404,1170,237,2001
SS,I,M,165,105,140,2001
SS,A,F,199,175,159,2001
SS,I,M,171,95,138,2001
SS,A,F,213,190,159,2001
SS,A,M,169,105,136,2001
RT,I,"",379,1435,221,2001
RT,I,"",407,1235,243,2001
RT,I,"",376,1055,222,2001
RT,I,"",380,1105,208,2001
SS,A,M,172,120,132,2001
RT,I,"",408,1390,245,2001
SS,A,M,167,105,131,2001
RT,A,"",374,1080,206,2001
RT,I,"",376,910,220,2001
CH,I,F,258,490,214,2001
RT,I,"",370,845,217,2001
SS,A,F,202,175,162,2001
RT,I,"",363,865,210,2001
SS,A,F,200,180,163,2001
RT,I,"",372,2030,196,2001
RT,A,"",378,960,206,2001
CH,A,F,254,515,218,2001
RT,I,"",361,970,218,2001
RT,A,"",389,1265,210,2001
RT,A,"",404,1300,224,2001
SS,I,F,195,170,154,2001
SS,I,F,203,191,161,2001
CH,A,F,253,540,209,2001
SS,I,F,199,185,157,2001
SS,I,F,194,165,158,2001
SS,A,F,196,205,156,2001
SS,I,M,168,95,133,2001
RT,A,"",395,1170,218,2001
RT,I,"",368,1075,213,2001
SS,I,F,210,200,165,2001
RT,I,"",401,965,235,2001
RT,I,"",355,785,206,2001
RT,A,"",377,1095,206,2001
SS,I,F,197,160,153,2001
SS,I,M,171,95,135,2001
RT,A,"",277,1500,207,2001
RT,A,"",435,1595,230,2001
RT,I,"",372,985,224,2002
CH,A,F,260,565,216,2002
RT,I,"",390,240,218,2002
RT,I,"",359,875,215,2002
RT,I,"",393,1225,226,2002
RT,I,"",402,1255,242,2002
RT,I,"",362,950,212,2002
CH,I,M,227,330,193,2002
RT,A,"",359,895,201,2002
SS,I,M,155,100,129,2002
CH,I,F,261,455,216,2002
SS,I,M,160,90,132,2002
SS,I,M,166,105,131,2002
RT,I,"",362,1305,234,2002
RT,I,"",375,975,220,2002
RT,I,"",388,1185,225,2002
RT,I,"",392,1030,214,2002
RT,I,"",412,1215,230,2002
RT,I,"",371,1075,220,2002
CH,A,F,255,960,200,2002
RT,I,"",391,795,209,2002
SS,I,F,190,180,156,2002
RT,I,"",385,1225,225,2002
SS,I,M,166,110,139,2002
SS,A,F,197,165,159,2002
RT,I,"",370,920,226,2002
SS,I,F,190,170,154,2002
RT,I,"",400,1315,230,2002
SS,I,M,162,100,131,2002
SS,I,F,194,155,156,2002
RT,I,"",395,1155,233,2002
RT,I,"",403,1160,235,2002
RT,I,"",386,955,226,2002
SS,A,F,193,190,145,2002
SS,A,F,203,180,156,2002
SS,A,M,159,90,130,2002
SS,I,M,163,100,130,2002
SS,A,M,191,190,147,2002
SS,I,M,166,105,141,2002
RT,I,"",361,1030,231,2002
CH,A,F,260,565,205,2002
CH,A,M,234,380,192,2002
RT,I,"",377,1040,225,2002
RT,I,"",361,910,205,2002
RT,I,"",375,1005,226,2002
SS,I,F,193,180,156,2002
SS,I,F,196,175,153,2002
SS,I,M,159,105,131,2002
SS,I,F,192,190,155,2002
RT,I,"",401,1250,230,2002
SS,I,F,198,185,165,2002
RT,I,"",407,1275,238,2002
SS,I,M,162,105,132,2002
CH,A,F,169,640,233,2002
SS,I,M,168,100,135,2002
SS,A,M,168,105,134,2002
CH,A,M,223,390,181,2002
RT,I,"",375,1030,217,2002
RT,A,"",406,1290,227,2002
RT,I,"",386,1020,230,2002
SS,A,M,160,105,136,2002
RT,I,"",378,1055,217,2002
SS,A,F,193,185,154,2002
RT,I,"",379,1010,216,2002
RT,I,"",364,1015,215,2002
RT,A,"",350,1115,199,2002
RT,I,"",380,1320,210,2002
RT,A,"",395,1180,217,2002
RT,I,"",372,1145,212,2002
RT,I,"",376,995,223,2002
RT,I,"",367,1045,215,2002
CH,I,M,230,340,196,2002
RT,I,"",366,935,218,2002
RT,I,"",386,1065,221,2002
RT,I,"",375,1110,215,2002
SS,I,F,199,190,163,2002
RT,A,"",405,1255,218,2002
RT,A,"",371,1015,204,2002
SS,I,F,193,190,151,2002
RT,I,"",350,960,218,2002
SS,I,F,193,200,155,2002
RT,A,"",368,1090,216,2002
SS,I,M,185,170,156,2002
RT,I,"",372,1085,220,2002
RT,I,"",396,1065,230,2002
RT,I,"",365,1125,213,2002
RT,I,"",374,1050,220,2002
CH,I,F,253,525,213,2002
RT,I,"",372,980,215,2002
RT,I,"",376,1180,214,2002
SS,I,M,166,115,136,2002
RT,I,"",369,1095,215,2002
RT,A,"",391,1330,217,2002
SS,I,F,193,185,158,2002
RT,A,"",397,1100,219,2002
RT,I,"",366,1115,215,2002
RT,A,"",385,1400,211,2002
RT,I,"",400,1175,234,2002
SS,I,F,198,185,161,2002
RT,A,"",365,970,208,2003
SS,I,F,194,170,153,2003
SS,I,F,195,175,152,2003
SS,I,F,200,165,163,2003
RT,I,"",384,1260,226,2003
SS,I,M,159,110,125,2003
SS,I,M,161,100,134,2003
SS,I,F,191,190,162,2003
CH,I,M,216,305,185,2003
CH,I,F,256,510,212,2003
SS,I,M,161,90,123,2003
RT,A,"",396,1195,228,2003
RT,I,"",391,1035,221,2003
SS,I,M,160,90,131,2003
SS,I,M,183,160,143,2003
SS,I,M,156,85,129,2003
RT,I,"",393,1155,223,2003
RT,I,"",397,1260,232,2003
SS,I,M,159,95,125,2003
CH,I,F,255,440,214,2003
SS,I,M,197,175,150,2003
CH,I,M,218,295,183,2003
SS,I,F,196,160,158,2003
RT,I,"",384,1010,230,2003
RT,I,"",385,990,225,2003
SS,I,M,181,150,141,2003
CH,I,M,225,300,183,2003
RT,I,"",379,945,224,2003
SS,I,F,201,188,162,2003
SS,I,M,161,95,131,2003
CH,A,M,230,330,188,2003
SS,I,M,159,95,132,2003
RT,I,"",367,970,215,2003
RT,I,"",396,1240,237,2003
SS,I,M,157,105,133,2003
SS,I,F,191,165,156,2003
SS,I,F,191,170,163,2003
SS,I,M,168,100,134,2003
RT,I,"",428,1290,253,2003
CH,A,F,252,470,211,2003
SS,A,F,192,175,160,2003
SS,A,F,195,195,158,2003
CH,A,M,233,335,187,2003
RT,A,"",364,1150,196,2003
RT,I,"",370,960,217,2003
RT,I,"",400,1130,227,2003
RT,I,"",375,925,220,2003
RT,I,"",398,1205,227,2003
RT,I,"",385,1040,238,2003
SS,I,M,156,100,122,2003
CH,I,M,230,335,201,2003
CH,I,M,220,335,185,2003
SS,I,M,163,105,137,2003
RT,I,"",376,860,220,2003
RT,I,"",360,935,212,2003
RT,A,"",372,1010,197,2003
RT,I,"",400,1285,230,2003
SS,A,F,194,210,147,2003
RT,I,"",370,830,233,2003
SS,I,M,160,95,135,2003
